timestamp,time_elapsed,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,cmd_vel_x,cmd_vel_y,cmd_vel_z,cmd_vel_unfiltered_x,cmd_vel_unfiltered_y,cmd_vel_unfiltered_z,des_vel_x,des_vel_y,des_vel_z,obs_main_valid,obs_main_x,obs_main_y,obs_main_z,obs_main_vx,obs_main_vy,obs_main_vz,obs_0_valid,obs_0_x,obs_0_y,obs_0_z,obs_0_vx,obs_0_vy,obs_0_vz,obs_1_valid,obs_1_x,obs_1_y,obs_1_z,obs_1_vx,obs_1_vy,obs_1_vz,obs_2_valid,obs_2_x,obs_2_y,obs_2_z,obs_2_vx,obs_2_vy,obs_2_vz,obs_3_valid,obs_3_x,obs_3_y,obs_3_z,obs_3_vx,obs_3_vy,obs_3_vz,obs_4_valid,obs_4_x,obs_4_y,obs_4_z,obs_4_vx,obs_4_vy,obs_4_vz,obs_5_valid,obs_5_x,obs_5_y,obs_5_z,obs_5_vx,obs_5_vy,obs_5_vz,obs_6_valid,obs_6_x,obs_6_y,obs_6_z,obs_6_vx,obs_6_vy,obs_6_vz,obs_7_valid,obs_7_x,obs_7_y,obs_7_z,obs_7_vx,obs_7_vy,obs_7_vz,obs_8_valid,obs_8_x,obs_8_y,obs_8_z,obs_8_vx,obs_8_vy,obs_8_vz,obs_9_valid,obs_9_x,obs_9_y,obs_9_z,obs_9_vx,obs_9_vy,obs_9_vz
1771516894.8147736,4.909457683563232,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,8.66800000000007,9.778999999999963,4.030000000000028,-1.5199999999992997,-1.2100000000003774,-0.4999999999997229,1,-1.3500000000000012,-9.193999999999937,3.528000000000017,0.09999999999998899,1.860000000000639,-0.7199999999998319,1,-2.6420000000000052,2.1039999999999863,2.6940000000000097,1.2799999999999478,-0.360000000000138,-0.45999999999990493,1,4.575000000000044,-15.585000000000052,-1.5619999999999932,-0.9499999999995623,1.7499999999994742,0.180000000000069,1,-6.008000000000019,-12.142999999999951,0.2760000000000016,0.9199999999998099,1.7700000000004934,-0.03999999999998449,1,0.5770000000000026,7.932000000000027,3.9220000000000197,0.9700000000000266,-1.1799999999997368,-0.5799999999998029,1,2.5579999999999825,3.6179999999999937,-1.5140000000000073,0.3799999999998249,-0.6200000000000649,0.25999999999992696,1,8.686000000000005,-0.8929999999999997,2.4640000000000093,-0.9399999999999409,0.17000000000000348,-0.45999999999990493,1,-1.437999999999998,-4.567999999999996,-3.7140000000000115,1.020000000000021,0.8200000000000429,0.6599999999998829
1771516894.9141345,5.008818626403809,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,8.51600000000014,9.657999999999925,3.9800000000000377,-1.5199999999992997,-1.2100000000003774,-0.500000000000167,1,-1.3400000000000023,-9.007999999999873,3.4560000000000337,0.09999999999998899,1.860000000000639,-0.7199999999998319,1,-2.5140000000000104,2.0679999999999725,2.6480000000000192,1.2799999999999478,-0.360000000000138,-0.45999999999990493,1,4.4800000000000875,-15.410000000000105,-1.5439999999999863,-0.9499999999995623,1.7499999999994742,0.180000000000069,1,-5.916000000000038,-11.965999999999902,0.27200000000000313,0.9199999999998099,1.7700000000004934,-0.03999999999998449,1,0.6740000000000053,7.814000000000053,3.8640000000000394,0.9700000000000266,-1.1799999999997368,-0.5799999999998029,1,2.595999999999965,3.555999999999987,-1.4880000000000146,0.3799999999998249,-0.6200000000000649,0.25999999999992696,1,8.592000000000011,-0.8759999999999993,2.418000000000019,-0.9399999999999409,0.17000000000000348,-0.45999999999990493,1,-1.3359999999999959,-4.485999999999992,-3.6480000000000232,1.020000000000021,0.8200000000000429,0.6599999999998829
1771516895.0142465,5.108930587768555,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,8.394400000000196,9.561199999999895,3.9400000000000244,-1.5199999999992997,-1.2100000000003774,-0.500000000000167,1,-1.3320000000000032,-8.859199999999822,3.398400000000047,0.09999999999998899,1.860000000000639,-0.7199999999998319,1,-2.4116000000000146,2.0391999999999615,2.611200000000027,1.2799999999999478,-0.360000000000138,-0.45999999999990493,1,4.4040000000001225,-15.270000000000147,-1.5295999999999808,-0.9499999999995623,1.7499999999994742,0.180000000000069,1,-5.842400000000053,-11.824399999999862,0.26880000000000437,0.9199999999998099,1.7700000000004934,-0.03999999999998449,1,0.7516000000000074,7.719600000000074,3.817600000000055,0.9700000000000266,-1.1799999999997368,-0.5799999999998029,1,2.626399999999951,3.506399999999982,-1.4672000000000205,0.3799999999998249,-0.6200000000000649,0.25999999999992696,1,8.516800000000016,-0.8623999999999991,2.3812000000000264,-0.9399999999999409,0.17000000000000348,-0.45999999999990493,1,-1.2543999999999942,-4.420399999999988,-3.5952000000000326,1.020000000000021,0.8200000000000429,0.6599999999998829
1771516895.114686,5.209370136260986,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,8.242400000000266,9.440199999999857,3.8900000000000077,-1.5199999999992997,-1.2100000000003774,-0.500000000000167,1,-1.3220000000000043,-8.673199999999758,3.326400000000064,0.09999999999998899,1.860000000000639,-0.7199999999998319,1,-2.28360000000002,2.0031999999999477,2.5652000000000363,1.2799999999999478,-0.360000000000138,-0.45999999999990493,1,4.309000000000166,-15.0950000000002,-1.5115999999999739,-0.9499999999995623,1.7499999999994742,0.180000000000069,1,-5.750400000000072,-11.647399999999813,0.2648000000000059,0.9199999999998099,1.7700000000004934,-0.03999999999998449,1,0.84860000000001,7.601600000000101,3.759600000000075,0.9700000000000266,-1.1799999999997368,-0.5799999999998029,1,2.6643999999999335,3.4443999999999755,-1.4412000000000278,0.3799999999998249,-0.6200000000000649,0.25999999999992696,1,8.422800000000022,-0.8453999999999987,2.335200000000036,-0.9399999999999409,0.17000000000000348,-0.45999999999990493,1,-1.152399999999992,-4.338399999999984,-3.5292000000000443,1.020000000000021,0.8200000000000429,0.6599999999998829
1771516895.2153778,5.310061931610107,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,8.120800000000322,9.343399999999827,3.8499999999999943,-1.5199999999992997,-1.2100000000003774,-0.500000000000167,1,-1.3120000000000054,-8.487199999999694,3.254400000000081,0.09999999999998899,1.860000000000639,-0.7199999999998319,1,-2.181200000000024,1.9743999999999526,2.528400000000044,1.2799999999999478,-0.35999999999991594,-0.45999999999990493,1,4.233000000000201,-14.955000000000242,-1.4971999999999683,-0.9499999999995623,1.7499999999994742,0.180000000000069,1,-5.658400000000091,-11.470399999999763,0.26080000000000747,0.9199999999998099,1.7700000000004934,-0.03999999999998449,1,0.9262000000000121,7.507200000000122,3.7132000000000907,0.9700000000000266,-1.1799999999997368,-0.5799999999998029,1,2.6947999999999195,3.3947999999999703,-1.4204000000000336,0.3799999999998249,-0.6200000000000649,0.25999999999992696,1,8.347600000000027,-0.8317999999999984,2.2984000000000435,-0.9399999999999409,0.17000000000000348,-0.45999999999990493,1,-1.0707999999999904,-4.272799999999981,-3.4764000000000537,1.020000000000021,0.8200000000000429,0.6599999999998829
1771516895.3148408,5.409524917602539,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,7.968800000000374,9.222399999999789,3.7999999999999776,-1.5200000000001879,-1.2100000000003774,-0.500000000000167,1,-1.3040000000000063,-8.338399999999643,3.1968000000000942,0.09999999999998899,1.860000000000639,-0.7199999999998319,1,-2.0532000000000292,1.938399999999961,2.4824000000000535,1.2799999999999478,-0.35999999999991594,-0.45999999999990493,1,4.138000000000245,-14.780000000000294,-1.4791999999999614,-0.9499999999995623,1.7499999999994742,0.180000000000069,1,-5.584800000000106,-11.328799999999724,0.2576000000000087,0.9199999999998099,1.7700000000004934,-0.03999999999998449,1,1.023200000000012,7.389200000000148,3.6552000000001104,0.9699999999999154,-1.1799999999997368,-0.5799999999998029,1,2.732799999999902,3.332799999999964,-1.394400000000041,0.3799999999998249,-0.6200000000000649,0.25999999999992696,1,8.253600000000032,-0.8147999999999981,2.252400000000053,-0.9399999999999409,0.17000000000000348,-0.45999999999990493,1,-0.9687999999999883,-4.190799999999976,-3.4104000000000654,1.020000000000021,0.8200000000000429,0.6599999999998829
1771516895.417377,5.51206111907959,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,7.847200000000359,9.125599999999759,3.7599999999999643,-1.5200000000001879,-1.2100000000003774,-0.500000000000167,1,-1.2940000000000074,-8.152399999999579,3.124800000000111,0.09999999999998899,1.860000000000639,-0.7199999999998319,1,-1.9252000000000344,1.9023999999999694,2.436400000000063,1.2799999999999478,-0.35999999999991594,-0.45999999999990493,1,4.06200000000028,-14.640000000000336,-1.464799999999956,-0.9499999999995623,1.7499999999994742,0.180000000000069,1,-5.511200000000121,-11.187199999999685,0.25440000000000995,0.9199999999998099,1.7700000000004934,-0.03999999999998449,1,1.1008000000000053,7.294800000000169,3.608800000000126,0.9699999999999154,-1.1799999999997368,-0.5799999999998029,1,2.763199999999888,3.2831999999999586,-1.3736000000000468,0.3799999999998249,-0.6200000000000649,0.25999999999992696,1,8.178400000000037,-0.8011999999999978,2.2156000000000606,-0.9399999999999409,0.17000000000000348,-0.45999999999990493,1,-0.8871999999999867,-4.125199999999973,-3.3576000000000747,1.020000000000021,0.8200000000000429,0.6599999999998829
1771516895.5150883,5.609772443771362,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,7.69520000000034,9.004599999999721,3.7099999999999476,-1.5200000000001879,-1.2100000000003774,-0.500000000000167,1,-1.2860000000000082,-8.003599999999528,3.0672000000001245,0.09999999999998899,1.860000000000639,-0.7199999999998319,1,-1.8228000000000386,1.8735999999999762,2.3996000000000706,1.2799999999999478,-0.35999999999991594,-0.45999999999990493,1,3.9670000000003083,-14.465000000000389,-1.446799999999949,-0.9500000000000064,1.7499999999994742,0.180000000000069,1,-5.41920000000014,-11.010199999999635,0.2504000000000115,0.9199999999998099,1.7700000000004934,-0.03999999999998449,1,1.1977999999999969,7.1768000000001955,3.550800000000146,0.9699999999999154,-1.1799999999997368,-0.5799999999998029,1,2.8011999999998705,3.221199999999952,-1.347600000000054,0.3799999999998249,-0.6200000000000649,0.25999999999992696,1,8.084400000000043,-0.7841999999999975,2.16960000000007,-0.9399999999999409,0.17000000000000348,-0.45999999999990493,1,-0.7851999999999846,-4.043199999999969,-3.2916000000000865,1.020000000000021,0.8200000000000429,0.6599999999998829
1771516895.6141655,5.708849668502808,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,7.543200000000321,8.883599999999683,3.659999999999931,-1.5200000000001879,-1.2100000000003774,-0.500000000000167,1,-1.2760000000000093,-7.817599999999552,2.9952000000001413,0.09999999999998899,1.8599999999997507,-0.7199999999998319,1,-1.6948000000000438,1.8375999999999846,2.35360000000008,1.2799999999999478,-0.35999999999991594,-0.45999999999990493,1,3.8720000000003076,-14.290000000000441,-1.4287999999999421,-0.9500000000000064,1.7499999999994742,0.180000000000069,1,-5.327200000000159,-10.833199999999586,0.24640000000001056,0.9199999999998099,1.7700000000004934,-0.04000000000001225,1,1.2947999999999884,7.058800000000222,3.4928000000001656,0.9699999999999154,-1.1799999999997368,-0.5799999999998029,1,2.839199999999853,3.1591999999999456,-1.3216000000000614,0.3799999999998249,-0.6200000000000649,0.25999999999992696,1,7.990400000000049,-0.7671999999999971,2.1236000000000796,-0.9399999999999409,0.17000000000000348,-0.45999999999990493,1,-0.6831999999999825,-3.9611999999999643,-3.225600000000098,1.020000000000021,0.8200000000000429,0.6599999999998829
1771516895.7150075,5.809691667556763,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,7.391200000000302,8.762599999999646,3.609999999999914,-1.5200000000001879,-1.2100000000003774,-0.500000000000167,1,-1.2660000000000105,-7.631599999999577,2.923200000000158,0.09999999999998899,1.8599999999997507,-0.7199999999998319,1,-1.566800000000049,1.801599999999993,2.3076000000000896,1.2799999999999478,-0.35999999999991594,-0.45999999999990493,1,3.777000000000307,-14.115000000000494,-1.4107999999999352,-0.9500000000000064,1.7499999999994742,0.180000000000069,1,-5.235200000000178,-10.656199999999536,0.24240000000000933,0.9199999999998099,1.7700000000004934,-0.04000000000001225,1,1.39179999999998,6.940800000000248,3.4348000000001853,0.9699999999999154,-1.1799999999997368,-0.5799999999998029,1,2.8771999999998354,3.097199999999939,-1.2956000000000687,0.3799999999998249,-0.6200000000000649,0.25999999999992696,1,7.896400000000055,-0.7501999999999968,2.077600000000089,-0.9399999999999409,0.17000000000000348,-0.45999999999990493,1,-0.5811999999999804,-3.87919999999996,-3.15960000000011,1.020000000000021,0.8200000000000429,0.6599999999998829
