timestamp,time_elapsed,pos_x,pos_y,pos_z,goal_x,goal_y,goal_z,cmd_vel_x,cmd_vel_y,cmd_vel_z,desired_vel_x,desired_vel_y,desired_vel_z,actual_vel_x,actual_vel_y,actual_vel_z,distance_to_goal,obstacle_main_x,obstacle_main_y,obstacle_0_x,obstacle_0_y,obstacle_1_x,obstacle_1_y,obstacle_2_x,obstacle_2_y,obstacle_3_x,obstacle_3_y,obstacle_4_x,obstacle_4_y,obstacle_5_x,obstacle_5_y,obstacle_6_x,obstacle_6_y,obstacle_7_x,obstacle_7_y,obstacle_8_x,obstacle_8_y,obstacle_9_x,obstacle_9_y
1750527893.0450485,1.8714885711669922,-5.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,5.0,10.920000000000044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750527893.152021,1.9784610271453857,-5.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,5.0,10.80000000000011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750527893.2541442,2.0805842876434326,-5.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,5.0,10.720000000000155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750527893.4576542,2.2840943336486816,-5.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,5.0,10.62000000000021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750527893.5740426,2.400482654571533,-5.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,5.0,10.520000000000266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750527893.6765845,2.5030245780944824,-5.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,5.0,10.420000000000321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750527893.7843726,2.6108126640319824,-5.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,5.0,10.320000000000377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750527893.8869126,2.713352680206299,-5.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,5.0,10.220000000000432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750527893.9957285,2.8221685886383057,-5.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,5.0,10.120000000000488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750527894.1014767,2.9279167652130127,-5.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,5.0,10.020000000000543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750527894.2379446,3.064384698867798,-4.983011664952075,-0.007408451172058926,0.0,10.0,0.0,0.0,0.4470614486297512,-0.19495924136997186,0.0,1.0,0.0,0.0,0.4470614486296043,-0.19495924136997148,0.0,inf,0.0,0.0,0.0,0.0,5.0,9.90000000000061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750527894.3523118,3.1787519454956055,-4.9252172896806075,-0.032390951307752665,0.0,10.0,0.0,0.0,0.7907849439571688,-0.35320832742496755,0.0,0.9999996492669487,0.0008375356587338601,0.0,0.676679525971835,-0.29121496064535035,0.0,inf,0.0,0.0,0.0,0.0,5.0,9.820000000000654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750527894.4651875,3.2916276454925537,-4.847622165718694,-0.06690587028211462,0.0,10.0,0.0,0.0,0.8350153579405355,-0.3762766678392339,0.0,0.9999902050283594,0.00442604194960556,0.0,0.7907849439572345,-0.35320832742496977,0.0,inf,0.0,0.0,0.0,0.0,5.0,9.72000000000071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750527894.5797827,3.4062228202819824,-4.763785832306416,-0.10465063736537096,0.0,10.0,0.0,0.0,0.8654515050547922,-0.3869221495967502,0.0,0.9999780565413496,0.006624683825314611,0.0,0.8654515050547928,-0.3869221495967495,0.0,inf,0.0,0.0,0.0,0.0,5.0,9.620000000000765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750527894.691203,3.5176432132720947,-4.67680959626631,-0.14373401085652093,0.0,10.0,0.0,0.0,0.8850463020828686,-0.40470208284559656,0.0,0.9999598540404666,0.008960485889087634,0.0,0.8850463020833033,-0.4047020828455983,0.0,inf,0.0,0.0,0.0,0.0,5.0,9.52000000000082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750527894.806031,3.6324710845947266,-4.588224991851741,-0.18460145232332456,0.0,10.0,0.0,0.0,0.887626115187998,-0.4175160564663778,0.0,0.9999336884956044,0.011516015438315113,0.0,0.8876261151877785,-0.4175160564663659,0.0,inf,0.0,0.0,0.0,0.0,5.0,9.400000000000887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750527894.9076936,3.734133720397949,-4.481874632870898,-0.23567148828338574,0.0,10.0,0.0,0.0,0.8850106415105734,-0.4328828689123613,0.0,0.9998980793499367,0.01427693637682341,0.0,0.8850106415101422,-0.4328828689123543,0.0,inf,0.0,0.0,0.0,0.0,5.0,9.320000000000931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750527895.0114567,3.8378968238830566,-4.4108928812910415,-0.27009098386624725,0.0,10.0,0.0,0.0,0.8888595831917694,-0.42839065763303286,0.0,0.9998518201570499,0.017214462775075042,0.0,0.8888595831919588,-0.42839065763305983,0.0,inf,0.0,0.0,0.0,0.0,5.0,9.220000000000987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750527895.11603,3.942470073699951,-4.322277932187004,-0.31393860392679146,0.0,10.0,0.0,0.0,0.8834393988888929,-0.44856174357781387,0.0,0.9997977716220737,0.020110093474063416,0.0,0.8834393988887967,-0.4485617435778245,0.0,inf,0.0,0.0,0.0,0.0,5.0,9.120000000001042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750527895.223895,4.050335168838501,-4.215496449480629,-0.3656876062514526,0.0,10.0,0.0,0.0,0.8936894634187758,-0.4208496515154533,0.0,0.9997303000956845,0.023223416428093082,0.0,0.8936894634183901,-0.4208496515154536,0.0,inf,0.0,0.0,0.0,0.0,5.0,9.000000000001108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750527895.3269014,4.15334153175354,-4.144214594738212,-0.39948767024621756,0.0,10.0,0.0,0.0,0.8901927038925959,-0.423015092065092,0.0,0.9996563084965467,0.026215737316675248,0.0,0.8901927038929003,-0.42301509206510435,0.0,inf,0.0,0.0,0.0,0.0,5.0,8.920000000001153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750527895.4429255,4.269365549087524,-4.0548530180811655,-0.4412124220804114,0.0,10.0,0.0,0.0,0.9099690214414878,-0.3902854332340225,0.0,0.9995732015646032,0.029213262636845216,0.0,0.8953017526653895,-0.41440677307530427,0.0,inf,0.0,0.0,0.0,0.0,5.0,8.820000000001208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750527895.5569086,4.383348703384399,-3.964149461312531,-0.4807233922006415,0.0,10.0,0.0,0.0,0.9060917546980594,-0.3874728013929631,0.0,0.9994924614414517,0.031856232070169146,0.0,0.9099690214413592,-0.39028543323404996,0.0,inf,0.0,0.0,0.0,0.0,5.0,8.720000000001264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750527895.665683,4.492123126983643,-3.8735208995090016,-0.5194847354991422,0.0,10.0,0.0,0.0,0.9067026982479182,-0.3845263872334079,0.0,0.999306487914746,0.03723631576157392,0.0,0.9060917546981351,-0.3874728013929518,0.0,inf,0.0,0.0,0.0,0.0,5.0,8.620000000001319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750527895.7822294,4.6086695194244385,-3.7830202540382487,-0.5583731116464258,0.0,10.0,0.0,0.0,0.8962539120071604,-0.4110233726899469,0.0,0.9992035521006797,0.03990315112098723,0.0,0.8962539120069835,-0.4110233726899448,0.0,inf,0.0,0.0,0.0,0.0,5.0,8.520000000001374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750527895.8896523,4.716092348098755,-3.6935759123281224,-0.5993757586699632,0.0,10.0,0.0,0.0,0.8880243897083709,-0.4064919978964153,0.0,0.9990814165495745,0.04285234072131416,0.0,0.8880243897082529,-0.40649199789644097,0.0,inf,0.0,0.0,0.0,0.0,5.0,8.42000000000143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750527895.9949665,4.821406602859497,-3.604410486584218,-0.6395751101146229,0.0,10.0,0.0,0.0,0.9001239488108439,-0.3914970530636303,0.0,0.9989471960345317,0.045874824629056,0.0,0.9001239488108936,-0.3914970530636275,0.0,inf,0.0,0.0,0.0,0.0,5.0,8.320000000001485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750527896.102523,4.9289631843566895,-3.515292956560158,-0.6802137451536343,0.0,10.0,0.0,0.0,0.8712573405195727,-0.4395270444393682,0.0,0.998804915461503,0.04887474654604242,0.0,0.8712573405196267,-0.4395270444393917,0.0,inf,0.0,0.0,0.0,0.0,5.0,8.22000000000154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750527896.2302709,5.056710958480835,-3.410173665379227,-0.7327449124584061,0.0,10.0,0.0,0.0,0.8800021146516663,-0.4362643055477785,0.0,0.9986443731308458,0.05205205100762079,0.0,0.8800021146515569,-0.4362643055477733,0.0,inf,0.0,0.0,0.0,0.0,5.0,8.100000000001607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750527896.3333104,5.159750461578369,-3.3397412023506017,-0.7674297655419499,0.0,10.0,0.0,0.0,0.8805147155484208,-0.43283110935285807,0.0,0.9984897716499516,0.05493792779517253,0.0,0.8805147155483972,-0.4328311093528825,0.0,inf,0.0,0.0,0.0,0.0,5.0,8.020000000001652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750527896.4781568,5.304596900939941,-3.251137015164088,-0.809987230129057,0.0,10.0,0.0,0.0,0.8962871362496105,-0.39873082904697854,0.0,0.9981669483789015,0.06052060115325475,0.0,0.8953945005882868,-0.4014429507018358,0.0,inf,0.0,0.0,0.0,0.0,5.0,7.920000000001636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750527896.589236,5.415676116943359,-3.1613224591212683,-0.8494737419510342,0.0,10.0,0.0,0.0,0.9043672413746553,-0.3819233906678728,0.0,0.9979792932667223,0.06353998906872393,0.0,0.9043672413744375,-0.38192339066789316,0.0,inf,0.0,0.0,0.0,0.0,5.0,7.820000000001603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750527896.6992824,5.525722503662109,-3.0712667608366937,-0.8887006212137035,0.0,10.0,0.0,0.0,0.8902551727496474,-0.42023969421895113,0.0,0.9977777683870859,0.06662975996119824,0.0,0.8902551727496544,-0.42023969421900453,0.0,inf,0.0,0.0,0.0,0.0,5.0,7.720000000001569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750527896.8053176,5.631757736206055,-2.9822307110021695,-0.9299966138677723,0.0,10.0,0.0,0.0,0.8905323453694882,-0.4010824108549619,0.0,0.9975555849390596,0.06987742809298703,0.0,0.8905323453696212,-0.4010824108550137,0.0,inf,0.0,0.0,0.0,0.0,5.0,7.620000000001536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750527896.9097257,5.736165761947632,-2.8926638901357453,-0.9701215365969637,0.0,10.0,0.0,0.0,0.901697265575196,-0.4014450552830643,0.0,0.9973093934780255,0.07330739171797811,0.0,0.9016972655753186,-0.4014450552830562,0.0,inf,0.0,0.0,0.0,0.0,5.0,7.520000000001502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750527897.018292,5.844732046127319,-2.8023496299486688,-1.0097832654139518,0.0,10.0,0.0,0.0,0.9047083828575335,-0.3913872071306066,0.0,0.9970544162569874,0.07669739905914563,0.0,0.9047083828574998,-0.39138720713061126,0.0,inf,0.0,0.0,0.0,0.0,5.0,7.420000000001469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750527897.1250172,5.951457262039185,-2.7125843779450536,-1.0495712960857864,0.0,10.0,0.0,0.0,0.8923296761535282,-0.4027786099160592,0.0,0.9967925375744092,0.08002897622717613,0.0,0.8923296761533805,-0.40277860991611014,0.0,inf,0.0,0.0,0.0,0.0,5.0,7.320000000001436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750527897.230084,6.056524038314819,-2.6222553989191484,-1.0883349642658704,0.0,10.0,0.0,0.0,0.909454854443313,-0.3791193472360328,0.0,0.9965053213778496,0.0835293030356922,0.0,0.9094548544434922,-0.37911934723600105,0.0,inf,0.0,0.0,0.0,0.0,5.0,7.220000000001402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
