timestamp,time_elapsed,pos_x,pos_y,pos_z,goal_x,goal_y,goal_z,cmd_vel_x,cmd_vel_y,cmd_vel_z,desired_vel_x,desired_vel_y,desired_vel_z,actual_vel_x,actual_vel_y,actual_vel_z,distance_to_goal,obstacle_main_x,obstacle_main_y,obstacle_main_z,obstacle_0_x,obstacle_0_y,obstacle_0_z,obstacle_1_x,obstacle_1_y,obstacle_1_z,obstacle_2_x,obstacle_2_y,obstacle_2_z,obstacle_3_x,obstacle_3_y,obstacle_3_z,obstacle_4_x,obstacle_4_y,obstacle_4_z,obstacle_5_x,obstacle_5_y,obstacle_5_z,obstacle_6_x,obstacle_6_y,obstacle_6_z,obstacle_7_x,obstacle_7_y,obstacle_7_z,obstacle_8_x,obstacle_8_y,obstacle_8_z,obstacle_9_x,obstacle_9_y,obstacle_9_z
1750609394.8916972,2.07098388671875,-5.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.920000000000044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750609394.9973335,2.1766202449798584,-5.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.8200000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750609395.100003,2.279289722442627,-5.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.720000000000155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750609395.202712,2.3819987773895264,-5.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.62000000000021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750609395.3054354,2.484722137451172,-5.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.520000000000266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750609395.4094172,2.5887038707733154,-5.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.420000000000321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750609395.5112686,2.6905553340911865,-5.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.320000000000377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750609395.6135097,2.7927963733673096,-5.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.220000000000432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750609395.7170045,2.8962912559509277,-5.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.120000000000488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750609395.8185065,2.997793197631836,-5.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.020000000000543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750609395.9221063,3.101392984390259,-4.974380901360027,0.004355399596240993,-0.006452721380807939,10.0,0.0,0.0,0.47442775259253017,0.08065554807853692,-0.11949484038533227,1.0,0.0,0.0,0.47442775259209924,0.080655548078537,-0.11949484038533201,inf,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.920000000000599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750609396.0379682,3.217254877090454,-4.91321525232152,0.01132952026398742,-0.02212105343304791,10.0,0.0,0.0,0.715179924158316,0.061507580708233825,-0.18473778799422197,0.9999996255063697,-0.00048417611553892164,0.0007173288015894045,0.7151799241587042,0.06150758070823381,-0.18473778799422272,inf,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.820000000000654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750609396.1495764,3.3288631439208984,-4.833171817783092,0.009043041525472384,-0.0414712284451471,10.0,0.0,0.0,0.8961954382420678,-0.10750856302289866,-0.2104652209579102,0.9999982200405545,-0.0008301659361129808,0.0016943258958835798,0.8369719544809584,-0.059024373710886424,-0.19725773388960813,inf,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.72000000000071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750609396.261814,3.441100835800171,-4.744381402731505,-0.0010290361264492997,-0.062332845721982014,10.0,0.0,0.0,0.9160375688375475,0.02185589035976869,-0.21960821917081141,0.9999911265757839,6.211196468171857e-05,0.004212233587823492,0.8961954382424864,-0.10750856302289866,-0.21046522095791165,inf,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.620000000000765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750609396.3642697,3.5435564517974854,-4.652857014370091,0.0006390950959968984,-0.08425709564621205,10.0,0.0,0.0,0.9387205726574013,-0.04005924225523622,-0.22369068873875841,0.9999838182112616,-3.763939623382953e-05,0.005688751963511359,0.9160375688379574,0.021855890359768662,-0.21960821917081658,inf,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.52000000000082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750609396.4676828,3.6469695568084717,-4.558997631706372,-0.0034496938324448732,-0.10664616253445833,10.0,0.0,0.0,0.9437247735663734,-0.11244916002181378,-0.2357309307079188,0.9999740017539125,0.00021290109278609824,0.007207668790313761,0.9397214128389564,-0.05453722580855162,-0.2260987371325907,inf,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.420000000000876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750609396.5704627,3.7497494220733643,-4.464616317414006,-0.014950870125763703,-0.13019085451728876,10.0,0.0,0.0,0.9449871929617413,-0.14905777304144557,-0.231673632427733,0.9999606189260876,0.0009422125444306721,0.008824558486235016,0.9446084671429489,-0.13807518913555655,-0.2328908219117909,inf,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.320000000000931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750609396.6739495,3.853236198425293,-4.3701052966946,-0.029042882645036926,-0.1534765855506022,10.0,0.0,0.0,0.9462173352855792,-0.06768129455432276,-0.24351041148171154,0.999943828380358,0.0019079698976879674,0.01042591650180753,0.9462173352856595,-0.06768129455432191,-0.2435104114817122,inf,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.220000000000987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750609396.7791655,3.9584522247314453,-4.275445126089249,-0.03500800289821348,-0.17558385311983316,10.0,0.0,0.0,0.950488121595372,0.021541950140771544,0.005797763956106233,0.9999237825437589,0.00241235288276432,0.012108247476431007,0.9500610429642009,0.012619625671261847,-0.019133053587686022,inf,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.120000000001042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750609396.8817363,4.061022996902466,-4.180473196805016,-0.03192023806541173,-0.17706165413405073,10.0,0.0,0.0,0.9462168507462152,0.07340694006991756,-0.10851209214539867,0.999921213530829,0.0023452625720236245,0.012331523608321886,0.9462168507461399,0.07340694006991581,-0.10851209214540747,inf,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.020000000001097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750609396.984149,4.163435697555542,-4.0859653832905245,-0.025254860289307735,-0.18972151256946762,10.0,0.0,0.0,0.9407943955021565,0.04124902431336351,-0.19463824552045506,0.9999119439473634,0.001868702810979671,0.013138200074936565,0.9407943955022091,0.04124902431336397,-0.19463824552046205,inf,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.920000000001153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750609397.0863056,4.265592336654663,-3.9920040844075757,-0.018735724622999446,-0.20442870980781644,10.0,0.0,0.0,0.9356578447514258,0.1453461214860542,0.012171637683777659,0.9998931926878947,0.0015682734072038082,0.014530785764338645,0.9356578447512476,0.14534612148605494,0.012171637683772163,inf,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.820000000001208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750609397.1893592,4.368645906448364,-3.8982690454443816,-0.0040824324477414815,-0.20594034544469833,10.0,0.0,0.0,0.942428024274228,0.15009332255215352,-0.09698033852660559,0.9998926761096306,0.0006033651147263473,0.01463803992547997,0.9424280242740224,0.15009332255215385,-0.09698033852659216,inf,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.720000000001264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750609397.2924194,4.47170615196228,-3.804157532926151,0.011297124318614125,-0.21843676635462808,10.0,0.0,0.0,0.9377390989462673,0.16331562652144865,-0.1969227334291089,0.9998813816596106,-0.0004569319147399367,0.015395253284486076,0.9377390989464551,0.1633156265214482,-0.19692273342911126,inf,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.620000000001319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750609397.3969452,4.576231956481934,-3.7100041202197946,0.024906991286941228,-0.23903421977130626,10.0,0.0,0.0,0.9508254027984943,0.06946405121738752,-0.22813583942107118,0.9998568560270862,-0.0015877648965742877,0.016844775399628014,0.9508254027985608,0.0694640512173862,-0.22813583942107857,inf,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.520000000001374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
