timestamp,time_elapsed,pos_x,pos_y,pos_z,goal_x,goal_y,goal_z,cmd_vel_x,cmd_vel_y,cmd_vel_z,desired_vel_x,desired_vel_y,desired_vel_z,actual_vel_x,actual_vel_y,actual_vel_z,distance_to_goal
1750522906.4915903,2.1114184856414795,-5.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,inf
1750522906.5996234,2.219451665878296,-5.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,inf
1750522906.7057002,2.325528383255005,-5.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,inf
1750522906.808028,2.427856206893921,-5.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,inf
1750522906.9142072,2.5340354442596436,-5.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,inf
1750522907.027489,2.6473171710968018,-5.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,inf
1750522907.1320257,2.7518539428710938,-5.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,inf
1750522907.2384658,2.8582940101623535,-5.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,inf
1750522907.344437,2.9642651081085205,-5.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,inf
1750522907.4512577,3.0710859298706055,-5.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,inf
1750522907.560924,3.1807522773742676,-4.998398963452168,-0.0010633452061912607,0.0,10.0,0.0,0.0,0.40025913695777726,-0.2658363015478152,0.0,1.0,0.0,0.0,0.16010365478322797,-0.10633452061912607,0.0,inf
1750522907.7108955,3.330723762512207,-4.950570229401781,-0.0320599000642812,0.0,10.0,0.0,0.0,0.6003314537420628,-0.3789882170172616,0.0,0.999999196525701,0.0012676545082819484,0.0,0.6003314537421645,-0.3789882170172617,0.0,inf
