timestamp,time_elapsed,pos_x,pos_y,pos_z,goal_x,goal_y,goal_z,cmd_vel_x,cmd_vel_y,cmd_vel_z,desired_vel_x,desired_vel_y,desired_vel_z,actual_vel_x,actual_vel_y,actual_vel_z,distance_to_goal
1750522042.7609873,2.2230939865112305,-5.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,inf
1750522042.8665414,2.328648090362549,-5.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,inf
1750522042.9707022,2.4328088760375977,-5.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,inf
1750522043.0744011,2.5365078449249268,-5.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,inf
1750522043.178411,2.6405177116394043,-5.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,inf
1750522043.281982,2.744088649749756,-5.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,inf
1750522043.3883672,2.8504738807678223,-5.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,inf
1750522043.4923098,2.954416513442993,-5.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,inf
1750522043.594836,3.0569427013397217,-5.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,inf
1750522043.6991332,3.1612398624420166,-5.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,inf
1750522043.8044329,3.2665395736694336,-4.998080478318165,-0.0004036883765820171,0.0,10.0,0.0,0.0,0.47988042045895446,-0.10092209414550428,0.0,1.0,0.0,0.0,0.1919521681834624,-0.04036883765820171,0.0,inf
1750522043.9074907,3.3695974349975586,-4.948673839297115,-0.010767554837603227,0.0,10.0,0.0,0.0,0.7163132496561566,-0.14619826855730128,0.0,0.9999998580249245,0.0005328697127434527,0.0,0.6217401179771542,-0.12808779879258242,0.0,inf
1750522044.0104506,3.472557306289673,-4.875391565823744,-0.025792315146418308,0.0,10.0,0.0,0.0,0.8342381430672936,-0.17512208663479784,0.0,0.9999989784174017,0.0014293929316362543,0.0,0.8342381430672674,-0.1751220866347963,0.0,inf
1750522044.113774,3.575880765914917,-4.79083799806709,-0.043523693691176,0.0,10.0,0.0,0.0,0.8970022236188555,-0.1872981911502435,0.0,0.9999967332120552,0.0025560839614101683,0.0,0.8970022236187702,-0.18729819115024385,0.0,inf
1750522044.2180278,3.6801345348358154,-4.700702238384877,-0.06345889284084645,0.0,10.0,0.0,0.0,0.9199252404781666,-0.2507392456052986,0.0,0.9999928921184185,0.0037703730108615487,0.0,0.9199252404785696,-0.25073924560529987,0.0,inf
1750522044.3229365,3.785043239593506,-4.608263636263341,-0.08846726274524173,0.0,10.0,0.0,0.0,0.937768363426165,-0.24811705935991724,0.0,0.9999855407931147,0.005377564941644046,0.0,0.9377683634257394,-0.24811705935991185,0.0,inf
1750522044.427875,3.889981746673584,-4.513966368410304,-0.1122181512058296,0.0,10.0,0.0,0.0,0.9563552030851645,-0.21023072095265175,0.0,0.9999752736059828,0.007032224160227352,0.0,0.9563552030851241,-0.21023072095265055,0.0,inf
1750522044.5338752,3.9959819316864014,-4.418164171488433,-0.13323298521653798,0.0,10.0,0.0,0.0,0.9617318680324111,-0.209964976289526,0.0,0.9999640134700417,0.008483617441055033,0.0,0.9617318680321674,-0.20996497628952837,0.0,inf
1750522044.6389356,4.1010422706604,-4.321842658088061,-0.153409012938938,0.0,10.0,0.0,0.0,0.9654400329612394,-0.1894532286257129,0.0,0.9999507434644411,0.009925252889041383,0.0,0.9654400329610624,-0.1894532286257078,0.0,inf
1750522044.7426217,4.204728364944458,-4.225322241188071,-0.17334498464878817,0.0,10.0,0.0,0.0,0.9649158908254221,-0.21146764745412594,0.0,0.9999363250985294,0.011284757349982522,0.0,0.9649158908251465,-0.21146764745413882,0.0,inf
1750522044.8470948,4.30920147895813,-4.12956436206256,-0.1943892887497745,0.0,10.0,0.0,0.0,0.9496302667209444,-0.20933305069522762,0.0,0.9999183010063563,0.012782461130856692,0.0,0.9496302667209022,-0.20933305069523178,0.0,inf
1750522044.9521534,4.414260149002075,-4.033789608402375,-0.21473697834296984,0.0,10.0,0.0,0.0,0.9649458702696647,-0.1982837020852769,0.0,0.9998981652266972,0.014270920653013868,0.0,0.964945870269851,-0.19828370208527235,0.0,inf
1750522045.0546007,4.516707420349121,-3.9370035732753323,-0.23405026724807695,0.0,10.0,0.0,0.0,0.9700589948323793,-0.18924718799018975,0.0,0.9998761089727739,0.015740606896355685,0.0,0.970058994832268,-0.18924718799018247,0.0,inf
1750522045.1632462,4.62535285949707,-3.840150081252784,-0.2529205907316366,0.0,10.0,0.0,0.0,0.9675188704877182,-0.18834059939920575,0.0,0.9998526852706845,0.017164141603980634,0.0,0.967518870487627,-0.188340599399206,0.0,inf
1750522045.2721639,4.7342705726623535,-3.743643490015162,-0.27158275606572607,0.0,10.0,0.0,0.0,0.9636861234384575,-0.18565474618310093,0.0,0.9998281577067644,0.018537935610464813,0.0,0.9636861234385563,-0.18565474618309485,0.0,inf
1750522045.37759,4.839696645736694,-3.647256489388614,-0.2908023141805867,0.0,10.0,0.0,0.0,0.9639280745265872,-0.1942611079798146,0.0,0.9998021584086633,0.019890802934477668,0.0,0.9639280745266099,-0.19426110797982066,0.0,inf
1750522045.4831214,4.945228099822998,-3.5529413523359152,-0.3117482749831568,0.0,10.0,0.0,0.0,0.9577407140461486,-0.18979651377369935,0.0,0.9997355529625881,0.022996176695009612,0.0,0.9369453420595697,-0.2139994197277173,0.0,inf
1750522045.5886908,5.050797462463379,-3.457479211511095,-0.33109096994983794,0.0,10.0,0.0,0.0,0.9620738901482564,-0.20163900684296127,0.0,0.9996996500350591,0.02450734012047404,0.0,0.9577407140461958,-0.1897965137737101,0.0,inf
1750522045.6932478,5.1553544998168945,-3.3613151542573014,-0.3511364457034402,0.0,10.0,0.0,0.0,0.9588665706282866,-0.20754783683295736,0.0,0.9996597407197068,0.026084531512157665,0.0,0.9620738901481296,-0.20163900684294633,0.0,inf
1750522045.7993326,5.261439323425293,-3.265427215249482,-0.37182214151972015,0.0,10.0,0.0,0.0,0.9518101400758434,-0.1983058178041351,0.0,0.9996156360144246,0.027723279666685037,0.0,0.9567496414626842,-0.20477523112431006,0.0,inf
1750522045.9026632,5.36476993560791,-3.170216471943464,-0.39166048559942185,0.0,10.0,0.0,0.0,0.9617199062133551,-0.20089325090094878,0.0,0.9995682742517465,0.02938137351087257,0.0,0.9547830699172977,-0.1990820477331623,0.0,inf
1750522046.00759,5.469696760177612,-3.074005438483727,-0.41188681192661863,0.0,10.0,0.0,0.0,0.9656241900519158,-0.2145933746111655,0.0,0.9995182216023681,0.031037472268846372,0.0,0.9656241900519724,-0.21459337461116057,0.0,inf
1750522046.111448,5.573554754257202,-2.9774121322391305,-0.43290118856903315,0.0,10.0,0.0,0.0,0.9676833393452706,-0.18492932003103363,0.0,0.9994614363277706,0.03281519912524629,0.0,0.9676833393452711,-0.18492932003105755,0.0,inf
1750522046.2147202,5.6768269538879395,-2.880545256453852,-0.4512580167584036,0.0,10.0,0.0,0.0,0.9731578866094008,-0.17736799704578698,0.0,0.9994053367868156,0.034481484916279594,0.0,0.9731578866092327,-0.17736799704576311,0.0,inf
1750522046.3182611,5.780367851257324,-2.78349727239305,-0.46912191840412737,0.0,10.0,0.0,0.0,0.9604052866036015,-0.18342047043372434,0.0,0.9993487945803143,0.03608305379083835,0.0,0.9604052866034607,-0.18342047043373721,0.0,inf
1750522046.4230402,5.885146856307983,-2.687366183787139,-0.48749097357225163,0.0,10.0,0.0,0.0,0.9640276844258799,-0.18450079542373873,0.0,0.9992890418753297,0.037701601927312256,0.0,0.9640276844260498,-0.18450079542375875,0.0,inf
1750522046.5277903,5.989897012710571,-2.591147699618204,-0.5057213783964936,0.0,10.0,0.0,0.0,0.9576730542992884,-0.1769258051433183,0.0,0.9992239282895943,0.03938960692253527,0.0,0.9576730542995016,-0.17692580514327982,0.0,inf
1750522046.6311316,6.093238353729248,-2.495843443882707,-0.524243320759439,0.0,10.0,0.0,0.0,0.9440539456392416,-0.20131880069087194,0.0,0.9991588158670166,0.04100805622339911,0.0,0.9440539456391228,-0.20131880069085284,0.0,inf
1750522046.734855,6.1969616413116455,-2.4009979060106743,-0.5445375261007241,0.0,10.0,0.0,0.0,0.9562801486422532,-0.20582783602969718,0.0,0.9990814729361835,0.0428510260748327,0.0,0.9562801486424632,-0.2058278360297372,0.0,inf
1750522046.838765,6.3008716106414795,-2.3050750716370842,-0.5642587934013529,0.0,10.0,0.0,0.0,0.9634708683826034,-0.18481524328963747,0.0,0.9989974177802878,0.04476783743176308,0.0,0.9634708683825544,-0.18481524328961552,0.0,inf
1750522046.9421575,6.404264211654663,-2.2087692071511764,-0.5825454901612855,0.0,10.0,0.0,0.0,0.9625339967382881,-0.1803873439934855,0.0,0.9989149561226125,0.04657156250931809,0.0,0.9625339967382907,-0.18038734399350442,0.0,inf
1750522047.0461555,6.5082621574401855,-2.112692486274635,-0.6007093921318519,0.0,10.0,0.0,0.0,0.9589283069977803,-0.18294178422236118,0.0,0.998829719330317,0.04836519184827263,0.0,0.9589283069977306,-0.18294178422240126,0.0,inf
1750522047.1497858,6.611892461776733,-2.016607341464529,-0.6194067380494576,0.0,10.0,0.0,0.0,0.9626266552734573,-0.1906950052871037,0.0,0.998740248590618,0.050178838618989856,0.0,0.9626266552733576,-0.19069500528712258,0.0,inf
1750522047.254495,6.716601610183716,-1.9010152846721668,-0.640825882079917,0.0,10.0,0.0,0.0,0.9636379468465477,-0.17142847102406233,0.0,0.9986420527975765,0.052096548678799745,0.0,0.9636379468465073,-0.17142847102402659,0.0,inf
