timestamp,time_elapsed,pos_x,pos_y,pos_z,goal_x,goal_y,goal_z,cmd_vel_x,cmd_vel_y,cmd_vel_z,desired_vel_x,desired_vel_y,desired_vel_z,actual_vel_x,actual_vel_y,actual_vel_z,distance_to_goal,obstacle_main_x,obstacle_main_y,obstacle_main_z,obstacle_0_x,obstacle_0_y,obstacle_0_z,obstacle_1_x,obstacle_1_y,obstacle_1_z,obstacle_2_x,obstacle_2_y,obstacle_2_z,obstacle_3_x,obstacle_3_y,obstacle_3_z,obstacle_4_x,obstacle_4_y,obstacle_4_z,obstacle_5_x,obstacle_5_y,obstacle_5_z,obstacle_6_x,obstacle_6_y,obstacle_6_z,obstacle_7_x,obstacle_7_y,obstacle_7_z,obstacle_8_x,obstacle_8_y,obstacle_8_z,obstacle_9_x,obstacle_9_y,obstacle_9_z
1750613301.2713282,1.3170146942138672,-5.0,0.0,0.5,10.0,0.0,0.0,0.0,0.0,0.0,0.9994449069791543,0.0,-0.03331483023263848,0.0,0.0,0.0,inf,nan,nan,nan,nan,nan,nan,0.0,-3.0,0.5,1.0,-2.0,0.5,2.0,-1.0,0.5,3.0,0.0,0.5,2.0,1.0,0.5,1.0,2.0,0.5,0.0,3.0,0.5,nan,nan,nan,nan,nan,nan
1750613301.3756108,1.421297311782837,-5.0,0.0,0.5,10.0,0.0,0.0,0.0,0.0,0.0,0.9994449069791543,0.0,-0.03331483023263848,0.0,0.0,0.0,inf,nan,nan,nan,nan,nan,nan,0.0,-3.0,0.5,1.0,-2.0,0.5,2.0,-1.0,0.5,3.0,0.0,0.5,2.0,1.0,0.5,1.0,2.0,0.5,0.0,3.0,0.5,nan,nan,nan,nan,nan,nan
1750613301.4799783,1.5256648063659668,-5.0,0.0,0.5,10.0,0.0,0.0,0.0,0.0,0.0,0.9994449069791543,0.0,-0.03331483023263848,0.0,0.0,0.0,inf,nan,nan,nan,nan,nan,nan,0.0,-3.0,0.5,1.0,-2.0,0.5,2.0,-1.0,0.5,3.0,0.0,0.5,2.0,1.0,0.5,1.0,2.0,0.5,0.0,3.0,0.5,nan,nan,nan,nan,nan,nan
1750613301.5855198,1.6312062740325928,-5.0,0.0,0.5,10.0,0.0,0.0,0.0,0.0,0.0,0.9994449069791543,0.0,-0.03331483023263848,0.0,0.0,0.0,inf,nan,nan,nan,nan,nan,nan,0.0,-3.0,0.5,1.0,-2.0,0.5,2.0,-1.0,0.5,3.0,0.0,0.5,2.0,1.0,0.5,1.0,2.0,0.5,0.0,3.0,0.5,nan,nan,nan,nan,nan,nan
1750613301.6882668,1.7339532375335693,-5.0,0.0,0.5,10.0,0.0,0.0,0.0,0.0,0.0,0.9994449069791543,0.0,-0.03331483023263848,0.0,0.0,0.0,inf,nan,nan,nan,nan,nan,nan,0.0,-3.0,0.5,1.0,-2.0,0.5,2.0,-1.0,0.5,3.0,0.0,0.5,2.0,1.0,0.5,1.0,2.0,0.5,0.0,3.0,0.5,nan,nan,nan,nan,nan,nan
1750613301.790911,1.8365974426269531,-5.0,0.0,0.5,10.0,0.0,0.0,0.0,0.0,0.0,0.9994449069791543,0.0,-0.03331483023263848,0.0,0.0,0.0,inf,nan,nan,nan,nan,nan,nan,0.0,-3.0,0.5,1.0,-2.0,0.5,2.0,-1.0,0.5,3.0,0.0,0.5,2.0,1.0,0.5,1.0,2.0,0.5,0.0,3.0,0.5,nan,nan,nan,nan,nan,nan
1750613301.8936684,1.9393548965454102,-5.0,0.0,0.5,10.0,0.0,0.0,0.0,0.0,0.0,0.9994449069791543,0.0,-0.03331483023263848,0.0,0.0,0.0,inf,nan,nan,nan,nan,nan,nan,0.0,-3.0,0.5,1.0,-2.0,0.5,2.0,-1.0,0.5,3.0,0.0,0.5,2.0,1.0,0.5,1.0,2.0,0.5,0.0,3.0,0.5,nan,nan,nan,nan,nan,nan
1750613301.9991987,2.0448851585388184,-5.0,0.0,0.5,10.0,0.0,0.0,0.0,0.0,0.0,0.9994449069791543,0.0,-0.03331483023263848,0.0,0.0,0.0,inf,nan,nan,nan,nan,nan,nan,0.0,-3.0,0.5,1.0,-2.0,0.5,2.0,-1.0,0.5,3.0,0.0,0.5,2.0,1.0,0.5,1.0,2.0,0.5,0.0,3.0,0.5,nan,nan,nan,nan,nan,nan
1750613302.1007726,2.1464591026306152,-5.0,0.0,0.5,10.0,0.0,0.0,0.0,0.0,0.0,0.9994449069791543,0.0,-0.03331483023263848,0.0,0.0,0.0,inf,nan,nan,nan,nan,nan,nan,0.0,-3.0,0.5,1.0,-2.0,0.5,2.0,-1.0,0.5,3.0,0.0,0.5,2.0,1.0,0.5,1.0,2.0,0.5,0.0,3.0,0.5,nan,nan,nan,nan,nan,nan
1750613302.2055657,2.2512521743774414,-5.0,0.0,0.5,10.0,0.0,0.0,0.0,0.0,0.0,0.9994449069791543,0.0,-0.03331483023263848,0.0,0.0,0.0,inf,nan,nan,nan,nan,nan,nan,0.0,-3.0,0.5,1.0,-2.0,0.5,2.0,-1.0,0.5,3.0,0.0,0.5,2.0,1.0,0.5,1.0,2.0,0.5,0.0,3.0,0.5,nan,nan,nan,nan,nan,nan
